Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Region,Cultivar,Yield class,ID,Yield class(Random Forest)
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,Massachusetts Quebec Washington Wisconsin,BG Ben\ Lear Bergman Crimson\ Queen DeMoranville Early\ Black Grygleski\ Hybrid\ 1 Howes HyRed LeMunyon McFarlin Mullica\ Queen Pilgrim Ruby\ Star Searles Stevens Sundance Wilcox,High\ yield Low\ yield,string,High\ yield Low\ yield
,,,,,,,,,,,,class,meta,meta
0.313,0.134,10.494,1.005,4.511,2.37,9.832,0.0565,0.002,0.024,Quebec,Stevens,High yield,2014_090,High yield
0.35258,0.16482,9.0295,0.99052,5.32128,2.32893,9.85853,0.05054,0.00478,0.0251,Quebec,Stevens,High yield,2018_005,High yield
0.231593101,0.068658179,10.435,1.170056189,5.249220056,1.780182069,7.385528469,0.076203272,0.004123331,0.01764509,Quebec,Stevens,High yield,2016_125,High yield
0.303,0.118,10.17,0.919,4.714,2.075,10.274,0.0621,0.003,0.026,Quebec,Stevens,High yield,2014_079,High yield
0.56,0.083,11.9,1.2,5.6,2.1,8.7,0.033,0.006,0.02,Quebec,Stevens,High yield,2014_B_057,High yield
0.30815,0.16174,9.6381,1.02303,5.53489,2.23521,10.05844,0.04716,0.00478,0.02457,Quebec,Stevens,High yield,2018_023,High yield
0.1865,0.0911,10.6,1.2,4.9,2.9,13.6,0.0985,0.0031,0.0155,Wisconsin,Crimson Queen,High yield,AA_062,High yield
0.185,0.106,10.267,0.855,5.773,1.491,7.199,0.0787,0.003,0.009,Quebec,Stevens,High yield,2014_069,High yield
0.225,0.176,10.87,0.919,4.595,2.284,8.924,0.0653,0.004,0.015,Quebec,Stevens,High yield,2014_031,High yield
0.174544125,0.05991257,9.6485,1.064901542,5.890839458,1.713476185,6.429090449,0.083652634,0.003570281,0.017866245,Quebec,Stevens,High yield,2016_131,High yield
0.151,0.232,8.3309,0.753,5.337,1.634,7.396,0.0775,0.003,0.014,Quebec,Stevens,High yield,2014_041,High yield
0.197,0.204,10.857,0.815,5.591,1.619,7.02,0.0685,0.003,0.011,Quebec,Stevens,High yield,2014_045,High yield
0.289,0.14,8.7879,0.859,4.485,1.74,9.091,0.049,0.003,0.026,Quebec,Stevens,High yield,2014_085,High yield
0.312612066,0.055928541,12.141,1.356627338,7.21962801,1.89580498,6.248225327,0.089905308,0.004567728,0.024054995,Quebec,Stevens,High yield,2016_080,High yield
0.27259469,0.066493465,11.049,1.21150299,7.010458065,1.65618586,6.827181053,0.120900523,0.004737851,0.016198359,Quebec,Stevens,High yield,2016_055,High yield
0.444597456,0.073337951,9.4071,1.27555379,5.796666199,2.232546022,9.802336779,0.096607615,0.00417823,0.027957857,Quebec,Stevens,High yield,2016_076,High yield
0.239,0.078,11.9,1.0,5.3,1.9,7.5,0.021,0.006,0.015,Quebec,Stevens,High yield,2014_B_065,High yield
0.208,0.127,10.801,0.977,4.393,2.29,9.17,0.0681,0.003,0.006,Quebec,Stevens,High yield,2014_125,High yield
0.273,0.098,10.8,1.2,5.5,2.1,9.3,0.034,0.005,0.023,Quebec,Stevens,High yield,2014_B_027,High yield
0.2243,0.3322,8.2,1.8,7.7,2.1,8.5,0.0426,0.0026,0.0234,Wisconsin,Crimson Queen,High yield,AA_008,High yield
1.05,0.0724,11.0,1.1,5.5,1.6,11.3,0.0374,0.00481,0.0328,Quebec,Stevens,High yield,2000_082,High yield
0.61,0.64,10.0,1.1,5.2,2.1,10.4,0.07,0.0,0.02,Quebec,Stevens,High yield,2016_C_035,High yield
0.271021653,0.051274844,10.878,1.352265635,7.357504889,1.811559886,7.891447443,0.11027627,0.004335606,0.025644336,Quebec,Stevens,High yield,2016_106,High yield
0.947,0.063,14.0,1.6,4.7,2.0,11.1,0.0487,0.00402,0.0315,Quebec,Stevens,High yield,2000_070,High yield
0.182,0.063,9.1,1.2,5.7,1.9,9.3,0.04,0.005,0.026,Quebec,Stevens,High yield,2014_B_018,High yield
0.163,0.09,9.3419,0.784,5.227,1.549,6.746,0.0554,0.002,0.009,Quebec,Stevens,High yield,2014_066,High yield
0.36765,0.06643,8.4994,1.08481,5.89925,1.9236,6.74509,0.03306,0.00452,0.02461,Quebec,Stevens,High yield,2018_054,High yield
0.169707879,0.053537826,9.4715,1.103513549,6.442063291,1.746695455,5.956398442,0.104397948,0.00393879,0.015400641,Quebec,Stevens,High yield,2016_121,High yield
0.37664,0.06736,8.8725,1.04298,5.34911,2.00758,8.02861,0.03079,0.00394,0.02366,Quebec,Stevens,High yield,2018_058,High yield
0.209,0.033,10.568,0.683,4.206,1.38,5.573,0.06,0.002,0.035,Quebec,Stevens,High yield,2015_064,High yield
0.454,0.0662,10.0,0.9,4.6,1.7,9.8,0.024,0.00321,0.0212,Quebec,Stevens,High yield,2001_050,High yield
0.305,0.087,11.5,1.2,5.0,2.1,9.0,0.026,0.005,0.022,Quebec,Stevens,High yield,2014_B_072,High yield
0.868,0.0549,12.0,1.2,5.1,2.1,8.6,0.0335,0.0041,0.0223,Quebec,Stevens,High yield,2000_046,High yield
0.54,0.0598,11.0,1.1,4.9,1.7,9.4,0.0266,0.00296,0.0206,Quebec,Stevens,High yield,2000_139,High yield
0.159,0.039,11.531,0.705,4.497,1.286,5.193,0.05,0.0,0.028,Quebec,Stevens,High yield,2015_105,High yield
0.313921674,0.091614086,11.607,1.043431885,5.695462041,2.178517931,8.959762931,0.122665375,0.005255671,0.021826809,Quebec,Stevens,High yield,2016_029,High yield
0.204,0.058,10.532,0.715,4.895,1.356,5.723,0.05,0.001,0.034,Quebec,Stevens,High yield,2015_079,High yield
0.4514,1.7054,9.8,1.1,5.9,2.7,9.5,0.0571,0.0043,0.1128,Wisconsin,Stevens,High yield,AA_065,High yield
0.144,0.07826,9.6422,1.22875,5.55463,2.13015,7.68617,0.03377,0.00436,0.02197,Quebec,Stevens,High yield,2018_138,High yield
0.226,0.145,10.726,0.958,4.62,2.172,8.074,0.0602,0.002,0.013,Quebec,Stevens,High yield,2014_023,High yield
0.63,0.31,15.0,1.3,6.2,2.4,8.9,0.06,0.01,0.02,Quebec,Stevens,High yield,2009_H_001,High yield
0.394,0.077,10.6,1.0,5.1,1.9,8.7,0.032,0.005,0.021,Quebec,Stevens,High yield,2014_B_073,High yield
0.296980887,0.045377443,11.417,1.293148207,6.5581399,1.91009095,7.315753622,0.061515949,0.004486846,0.025988281,Quebec,Stevens,High yield,2016_100,High yield
0.306,0.1,12.182,1.033,5.865,2.128,8.411,0.084,0.003,0.022,Quebec,Stevens,High yield,2014_093,High yield
0.39143171,0.044899597,11.907,1.369523554,5.835460832,1.858568126,7.654444735,0.082698337,0.00403072,0.023881603,Quebec,Stevens,High yield,2016_090,High yield
0.27234,0.07033,7.7535,1.14833,5.70485,1.94917,6.87741,0.02695,0.0047,0.02205,Quebec,Stevens,High yield,2018_043,High yield
0.251,0.139,8.3813,0.924,4.626,2.101,9.024,0.0533,0.002,0.024,Quebec,Stevens,High yield,2014_075,High yield
0.17694,0.05744,9.98,1.33959,6.688,1.92091,6.64344,0.03388,0.00494,0.01974,Quebec,Stevens,High yield,2018_141,High yield
0.291,0.1121,12.6,1.7,7.2,2.6,11.2,0.0629,0.0034,0.0197,Wisconsin,HyRed,High yield,AA_051,High yield
0.233,0.143,10.672,0.944,4.397,2.343,9.417,0.0559,0.002,0.016,Quebec,Stevens,High yield,2014_019,High yield
0.26013,0.05347,8.5235,1.17726,5.18298,2.05494,7.75014,0.02746,0.00457,0.02297,Quebec,Stevens,High yield,2018_051,High yield
0.19,0.108,11.257,1.03,5.448,2.046,8.513,0.0612,0.002,0.008,Quebec,Stevens,High yield,2014_137,High yield
0.155,0.08,9.748,0.842,5.483,1.882,7.586,0.0782,0.002,0.016,Quebec,Stevens,High yield,2014_055,High yield
0.262639309,0.055273813,10.685,1.250901746,7.130848755,1.8925458,7.555602223,0.069503188,0.003974829,0.027308356,Quebec,Stevens,High yield,2016_101,High yield
0.098,0.054,9.8,1.0,4.0,2.0,9.0,0.021,0.004,0.016,Quebec,Stevens,High yield,2015_B_056,High yield
0.14,0.092,8.7239,0.938,4.284,1.307,4.736,0.05,0.001,0.017,Quebec,Stevens,High yield,2015_141,High yield
0.175,0.193,10.332,0.975,5.422,2.084,8.683,0.0674,0.005,0.006,Quebec,Stevens,High yield,2014_121,High yield
0.343,0.102,10.775,0.965,4.703,2.115,9.145,0.0588,0.002,0.028,Quebec,Stevens,High yield,2014_092,High yield
0.578830618,0.068044281,10.302,1.256034719,6.927473643,1.938977991,7.321633606,0.096438152,0.004244542,0.026536151,Quebec,Stevens,High yield,2016_079,High yield
0.54,0.0598,11.0,1.1,4.9,1.7,9.4,0.0266,0.00296,0.0206,Quebec,Stevens,High yield,2001_048,High yield
0.316346985,0.0613642,12.088,1.489578372,8.318101555,1.818396833,6.820976622,0.076635251,0.004578493,0.02660513,Quebec,Stevens,High yield,2016_105,High yield
0.244,0.112,10.2,1.2,5.5,2.1,8.7,0.033,0.005,0.021,Quebec,Stevens,High yield,2014_B_040,High yield
0.187,0.095,11.566,0.961,4.374,2.26,8.901,0.0203,0.002,0.013,Quebec,Stevens,High yield,2014_026,High yield
0.189,0.106,9.8,1.1,6.4,1.6,6.5,0.019,0.004,0.014,Quebec,Stevens,High yield,2014_B_064,High yield
0.3313,0.1888,10.9,1.4,6.7,2.4,9.2,0.0406,0.0039,0.0327,Wisconsin,Stevens,High yield,AA_048,High yield
0.2143,0.1225,11.2,1.4,6.4,2.8,13.9,0.1155,0.0035,0.0188,Wisconsin,HyRed,High yield,AA_059,High yield
0.3542,0.1057,9.8,1.3,7.1,2.3,11.9,0.0553,0.0018,0.0117,Wisconsin,Crimson Queen,High yield,AA_018,High yield
0.448,0.0677,11.0,1.0,5.6,1.7,8.9,0.0292,0.00322,0.0223,Quebec,Stevens,High yield,2000_136,High yield
0.2387,0.141,11.7,1.4,6.0,2.8,13.4,0.1046,0.0031,0.0195,Wisconsin,HyRed,High yield,AA_060,High yield
0.284,0.269,14.0,1.7,6.8,1.8,9.7,0.0269,0.00361,0.0239,Quebec,Stevens,High yield,2000_015,High yield
0.183,0.154,8.359,0.689,4.216,1.667,7.24,0.0632,0.002,0.017,Quebec,Stevens,High yield,2014_053,High yield
0.6668,1.1993,10.9,1.2,5.6,2.8,10.2,0.0595,0.0037,0.0315,Wisconsin,Stevens,High yield,AA_066,High yield
0.254517295,0.038579171,7.7638,1.053408598,5.648249933,1.800476796,7.693248684,0.029017512,0.003720635,0.024067725,Quebec,Stevens,High yield,2017_052,High yield
0.469,0.061,11.1,1.2,5.6,2.1,8.3,0.033,0.005,0.026,Quebec,Stevens,High yield,2014_B_041,High yield
0.199130982,0.065314715,12.498,1.347292117,7.953649255,1.635362021,5.725895393,0.119008153,0.005089757,0.014538446,Quebec,Stevens,High yield,2016_045,High yield
0.3,0.08,11.0,1.1,5.5,2.0,9.5,0.05,0.0,0.03,Quebec,DeMoranville,High yield,2016_C_028,High yield
0.222,0.097,10.1,1.0,4.7,1.9,9.0,0.029,0.006,0.018,Quebec,Stevens,High yield,2014_B_075,High yield
0.3682,0.4435,8.5,1.6,6.4,2.4,12.1,0.0472,0.0023,0.0307,Wisconsin,HyRed,High yield,AA_004,High yield
0.787,0.0581,10.0,1.4,5.7,1.9,8.2,0.0345,0.00509,0.0228,Quebec,Stevens,High yield,2001_018,High yield
0.3393,0.074,12.3,1.5,6.2,2.8,14.7,0.0525,0.0033,0.0203,Wisconsin,Crimson Queen,High yield,AA_054,High yield
0.238,0.115,10.43,0.853,4.334,2.145,8.376,0.0482,0.002,0.016,Quebec,Stevens,High yield,2014_011,High yield
0.241201337,0.057238279,11.23,1.138260036,7.010614992,1.645241449,6.471464734,0.106547948,0.004241241,0.014389293,Quebec,Stevens,High yield,2016_059,High yield
0.53,0.09,10.0,1.1,6.0,2.2,10.5,0.09,0.0,0.03,Quebec,Stevens,High yield,2016_C_029,High yield
0.78972,0.06043,11.053,1.16532,5.99677,1.96701,7.70331,0.04186,0.00493,0.02532,Quebec,Stevens,High yield,2018_083,High yield
0.440622244,0.060736319,11.531,1.408411371,7.505222671,1.859086367,6.766829685,0.081819688,0.00409965,0.025252885,Quebec,Stevens,High yield,2016_095,High yield
0.341,0.102,10.8,1.1,5.5,1.8,8.8,0.028,0.004,0.018,Quebec,Stevens,High yield,2014_B_063,High yield
0.573,0.066,12.0,1.1,5.6,2.0,8.0,0.032,0.005,0.023,Quebec,Stevens,High yield,2014_B_042,High yield
0.2172,0.06725,10.053,1.30532,6.33961,2.04257,7.41755,0.03434,0.00501,0.02245,Quebec,Stevens,High yield,2018_143,High yield
0.718,0.0647,15.0,1.5,5.4,1.9,8.5,0.0516,0.00436,0.0277,Quebec,Stevens,High yield,2000_065,High yield
0.169,0.099,8.9242,0.748,5.525,1.49,6.205,0.0598,0.002,0.013,Quebec,Stevens,High yield,2014_060,High yield
0.097,0.04,11.012,0.751,4.163,1.486,5.233,0.05,0.001,0.016,Quebec,Stevens,High yield,2015_137,High yield
0.115,0.047,11.0,1.0,5.0,2.0,10.0,0.024,0.004,0.017,Quebec,Stevens,High yield,2015_B_031,High yield
0.307,0.115,11.048,0.955,5.741,2.029,8.559,0.0516,0.003,0.024,Quebec,Stevens,High yield,2014_083,High yield
0.193683229,0.057249455,9.3038,1.096526106,6.305644845,1.662704293,6.963393303,0.113045814,0.00461596,0.015710865,Quebec,Stevens,High yield,2016_061,High yield
0.172,0.088,11.145,0.848,4.715,1.978,8.116,0.0615,0.002,0.017,Quebec,Stevens,High yield,2014_119,High yield
0.192,0.105,11.3,1.1,5.1,2.1,8.2,0.027,0.006,0.02,Quebec,Stevens,High yield,2014_B_079,High yield
0.159,0.129,9.1216,0.775,5.026,1.601,7.446,0.07,0.003,0.01,Quebec,Stevens,High yield,2014_043,High yield
0.416,0.0707,12.0,1.1,5.7,1.7,9.2,0.0252,0.00332,0.0229,Quebec,Stevens,High yield,2001_046,High yield
0.817,0.0594,12.0,1.3,4.7,2.2,10.6,0.0379,0.00395,0.16,Quebec,Stevens,High yield,2000_035,High yield
0.131,0.104,9.8856,0.747,4.428,1.382,5.148,0.06,0.003,0.011,Quebec,Stevens,High yield,2015_123,High yield
0.187,0.095,10.672,0.887,4.365,2.12,8.468,0.0495,0.002,0.015,Quebec,Stevens,High yield,2014_012,High yield
0.560611076,0.054237569,11.442,1.38479646,7.737839114,1.803349385,5.727276079,0.061073023,0.004927127,0.027069152,Quebec,Stevens,High yield,2016_081,High yield
0.0,0.0,9.9,1.0,5.0,2.0,8.0,0.0,0.0,0.0,Quebec,Stevens,High yield,2016_B_002,High yield
0.36008,0.04701,10.658,1.27723,6.51319,2.05412,7.70662,0.03842,0.00591,0.02655,Quebec,Stevens,High yield,2018_130,High yield
0.172,0.123,9.5031,1.03,5.376,2.055,8.617,0.0603,0.003,0.013,Quebec,Stevens,High yield,2014_129,High yield
0.2793,0.3453,9.4,1.9,7.5,2.5,11.5,0.0477,0.0022,0.0424,Wisconsin,Crimson Queen,High yield,AA_007,High yield
0.2953,0.05878,8.5847,1.12573,5.64477,1.91854,7.13759,0.02649,0.00437,0.02063,Quebec,Stevens,High yield,2018_064,High yield
0.154,0.112,9.6906,0.97,4.72,2.07,8.391,0.0637,0.003,0.005,Quebec,Stevens,High yield,2014_127,High yield
0.505,0.0735,11.0,1.1,5.0,1.7,9.4,0.0236,0.00331,0.0196,Quebec,Stevens,High yield,2000_157,High yield
0.3099,0.4265,9.1,2.1,8.5,2.1,9.5,0.0456,0.0026,0.0249,Wisconsin,Crimson Queen,High yield,AA_009,High yield
0.20019,0.1054,9.9126,1.26662,4.96135,2.2233,9.95578,0.03636,0.00536,0.02484,Quebec,Stevens,High yield,2018_033,High yield
0.20505,0.06427,10.709,1.37572,6.41438,2.20392,7.62242,0.0361,0.00505,0.02124,Quebec,Stevens,High yield,2018_131,High yield
0.2305,0.1556,9.6,1.2,5.3,2.6,12.6,0.0868,0.0027,0.0158,Wisconsin,Crimson Queen,High yield,AA_027,High yield
0.149,0.079,9.8105,0.865,4.979,1.786,7.337,0.0466,0.003,0.013,Quebec,Stevens,High yield,2014_024,High yield
0.31,0.06,10.0,1.1,4.9,2.3,10.0,0.02,0.0,0.03,Quebec,Stevens,High yield,2016_AB_017,High yield
0.184326269,0.058618506,9.8203,1.083182642,5.708614271,1.749321769,6.595020572,0.091506,0.003695599,0.018332466,Quebec,Stevens,High yield,2016_135,High yield
0.34228,0.06827,10.05,1.17662,5.34976,2.26608,9.20648,0.04433,0.00527,0.02584,Quebec,Stevens,High yield,2018_113,High yield
0.446207341,0.053971713,11.116,1.279295926,6.333859862,2.068879744,8.164847009,0.10235031,0.00479287,0.029343818,Quebec,Stevens,High yield,2016_078,High yield
0.225660829,0.046289558,10.024,1.168201195,5.678843764,1.845191664,6.939266763,0.08662969,0.00366958,0.018606827,Quebec,Stevens,High yield,2016_130,High yield
0.31417,0.05715,8.044,1.18036,5.04831,1.88976,7.82073,0.0265,0.00436,0.02332,Quebec,Stevens,High yield,2018_065,High yield
0.242914611,0.066572187,10.479,1.095718704,6.235210003,1.706484519,6.883113858,0.091540462,0.004247633,0.015014706,Quebec,Stevens,High yield,2016_049,High yield
0.127,0.065,8.7245,0.656,2.55,1.618,5.746,0.06,0.001,0.015,Quebec,Stevens,High yield,2015_125,High yield
0.6718,0.081,7.2,1.4,4.8,2.1,7.6,0.0284,0.0057,0.0217,Wisconsin,Searles,High yield,2013_W_009,High yield
0.22372758,0.06527016,10.51,1.135660831,3.087825564,1.599029757,7.016747443,0.060677408,0.003900424,0.012841908,Quebec,Stevens,High yield,2016_141,High yield
0.31678,0.06571,8.475,1.19301,5.61979,2.18386,7.56851,0.03268,0.00465,0.02304,Quebec,Stevens,High yield,2018_069,High yield
0.515,0.07,10.9,1.1,5.5,1.9,8.6,0.034,0.005,0.024,Quebec,Stevens,High yield,2014_B_025,High yield
0.219352473,0.048810558,10.131,1.300484042,7.205003297,1.930809604,7.707704951,0.128949986,0.004125523,0.024967355,Quebec,Stevens,High yield,2016_088,High yield
0.51,0.07,10.0,0.9,5.3,1.8,10.1,0.05,0.0,0.03,Quebec,Stevens,High yield,2016_C_031,High yield
0.2499,0.3094,10.6,2.4,9.4,2.6,10.5,0.0476,0.0029,0.0264,Wisconsin,Crimson Queen,High yield,AA_044,High yield
0.5785,0.2822,11.5,1.4,6.2,2.6,12.1,0.0758,0.0035,0.0268,Wisconsin,HyRed,High yield,AA_069,High yield
0.4603,0.4102,8.6,1.4,5.6,2.7,9.3,0.0478,0.0059,0.0371,Wisconsin,Stevens,High yield,AA_003,High yield
0.3992,0.1821,8.8,1.4,5.8,2.5,9.0,0.0518,0.0035,0.0279,Wisconsin,Stevens,High yield,AA_012,High yield
0.85721,0.10269,11.061,1.04475,6.34618,1.89659,9.20907,0.06303,0.00426,0.02697,Quebec,Stevens,High yield,2018_084,High yield
0.481183238,0.045714973,12.164,1.483406468,8.532489731,2.040413194,6.234257209,0.073448902,0.004622187,0.024662971,Quebec,Stevens,High yield,2016_086,High yield
0.792,0.0645,11.0,1.0,5.7,1.6,12.3,0.042,0.00467,0.0304,Quebec,Stevens,High yield,2001_028,High yield
0.26732,0.07192,9.864,1.21802,9.01828,2.12116,5.01001,0.03324,0.00449,0.01493,Quebec,Stevens,High yield,2018_067,High yield
0.234022526,0.047006864,8.3478,1.011491008,6.409753606,1.815733779,6.949000317,0.041582017,0.003466903,0.01696227,Quebec,Stevens,High yield,2017_050,High yield
0.1686,0.1012,9.8,1.2,5.1,2.7,12.0,0.0841,0.0033,0.0159,Wisconsin,Crimson Queen,High yield,AA_061,High yield
0.254395722,0.04969241,10.117,1.155015816,5.398556613,1.78953277,6.10048156,0.097913633,0.003878217,0.017485475,Quebec,Stevens,High yield,2016_127,High yield
0.251,0.08,11.2,1.0,5.4,1.9,8.2,0.026,0.005,0.019,Quebec,Stevens,High yield,2014_B_078,High yield
0.2824,0.1813,12.2,1.5,6.6,2.7,10.0,0.0419,0.0043,0.0373,Wisconsin,Stevens,High yield,AA_047,High yield
0.287,0.091,11.103,0.967,5.233,1.76,8.509,0.0682,0.004,0.023,Quebec,Stevens,High yield,2014_105,High yield
0.195290228,0.07385026,10.202,1.04359563,5.444321922,1.66429775,5.875067944,0.108391683,0.003906075,0.016780287,Quebec,Stevens,High yield,2016_129,High yield
0.39133,0.05187,10.29,1.10307,7.93652,2.4573,5.36557,0.04782,0.00464,0.01998,Quebec,Stevens,High yield,2018_086,High yield
0.219069572,0.06211514,8.6845,1.092634399,3.087980368,1.704923582,6.985732134,0.059730489,0.004141913,0.013299927,Quebec,Stevens,High yield,2016_139,High yield
0.258,0.063,11.0,1.0,5.0,2.0,8.0,0.021,0.004,0.019,Quebec,Wilcox,High yield,2015_B_065,High yield
0.244674438,0.050978174,9.2318,1.151098241,6.145037538,1.621024037,7.235892068,0.085248027,0.003108492,0.016798483,Quebec,Stevens,High yield,2016_115,High yield
0.162,0.111,9.1665,0.695,4.8,1.559,7.308,0.0656,0.002,0.014,Quebec,Stevens,High yield,2014_047,High yield
0.179,0.111,8.9075,0.772,5.214,1.695,7.39,0.0669,0.002,0.011,Quebec,Stevens,High yield,2014_071,High yield
1.05,0.0724,11.0,1.1,5.5,1.6,11.3,0.0374,0.00481,0.0328,Quebec,Stevens,High yield,2001_026,High yield
0.3391,0.1999,9.3,1.5,6.0,2.6,9.5,0.0456,0.0033,0.0319,Wisconsin,Stevens,High yield,AA_011,High yield
0.56,0.0591,11.0,1.2,5.5,1.9,8.0,0.0449,0.00571,0.0249,Quebec,Stevens,High yield,2001_014,High yield
0.56,0.0591,11.0,1.2,5.5,1.9,8.0,0.0449,0.00571,0.0249,Quebec,Stevens,High yield,2000_045,High yield
0.257,0.134,11.026,1.025,4.993,2.156,8.983,0.0524,0.003,0.022,Quebec,Stevens,High yield,2014_080,High yield
0.72922,0.05621,11.366,1.19201,5.84914,2.29014,9.09867,0.04378,0.00484,0.02961,Quebec,Stevens,High yield,2018_088,High yield
0.31035,0.05465,8.3246,0.98655,5.15264,1.70261,6.88635,0.02483,0.00414,0.01992,Quebec,Stevens,High yield,2018_047,High yield
0.2227,1.1854,11.7,1.1,5.3,2.4,7.8,0.0735,0.0069,0.0218,Wisconsin,LeMunyon,High yield,2017_W_026,High yield
0.3141,0.4041,9.4,2.0,6.9,2.2,11.9,0.0521,0.0015,0.0266,Wisconsin,HyRed,High yield,AA_006,High yield
0.602,0.066,11.3,1.1,5.9,1.9,6.3,0.032,0.004,0.018,Quebec,Stevens,High yield,2014_B_055,High yield
0.7015,0.0589,6.7,0.9,3.9,2.1,8.9,0.0197,0.0053,0.0271,Wisconsin,Stevens,High yield,2016_W_019,High yield
